Gene,log2FoldChange,padj
SGO1,4.121317815,6.70829411241429e-210
EXO1,4.493267294,2.37885318458356e-209
DEPDC1,4.354385256,7.98804873197972e-209
WDR62,3.649113508,3.64073443690055e-208
SPAG5,3.282547447,8.76560958016831e-207
ARHGAP11A,3.08503873,5.13850619949255e-206
CKS2,3.437726306,1.12793795707367e-204
CKAP2L,4.245757078,5.51898505156158e-204
ASF1B,3.65761053,2.40432698608448e-203
STMN1,2.919447997,7.26013284347432e-203
CENPE,3.403388521,5.35116609096952e-202
CDC45,3.979616864,5.40285453893305e-202
MMP11,5.902984267,2.16504003923222e-200
KIF18A,3.361089543,2.17242229377027e-200
CDCA2,4.411889914,6.48835635552024e-200
SPC25,3.437831072,1.03084202158553e-199
KIF18B,4.647280534,1.19501404290415e-199
CLSPN,3.947627365,1.33067660312787e-199
CHEK1,2.920291161,6.8365388155396e-199
ERCC6L,3.578149375,3.02395063180302e-198
TICRR,3.189860641,2.13409437808015e-197
KIF15,3.429644901,3.29199011252942e-197
NCAPG,3.958919623,4.63992203459691e-197
KIF20A,4.315645852,6.86745265993528e-197
E2F1,3.376115508,1.37492108530508e-196
KIF11,3.203871122,3.07731511887522e-195
COL10A1,6.035506743,1.92841927256646e-193
CDC25A,3.307816813,1.10519292761711e-192
DLGAP5,4.300047242,2.35934322449348e-192
CENPI,2.971612693,3.39526618451808e-190
KIF14,4.492426339,2.75926749525798e-188
RACGAP1,2.353317448,1.23774941977041e-186
RAD54L,3.766176769,2.94796509774413e-185
HDGF,1.923353327,1.51473572152191e-184
PKMYT1,4.587901362,8.06483177846883e-184
MAD2L1,2.955898919,9.41157184492179e-184
STIL,3.087882386,1.96238576443534e-183
PIMREG,4.344365759,1.40366670679591e-182
MMP1,8.073686638,7.95560844731601e-181
CENPO,2.118088859,8.29878001507847e-181
RAD51AP1,3.36765531,8.4372661931023e-181
ASPM,4.557798766,4.41043424572017e-179
FEN1,2.3065887,5.64755610158766e-179
RECQL4,3.33470181,1.17394977510147e-175
DEPDC1B,3.862269581,1.2255247052734e-175
CENPL,2.077941666,1.43173340917181e-175
COL11A1,5.694151904,5.91466780837578e-175
EEF1AKMT4,3.20030795,6.2267628657226e-174
PACC1,2.152231838,1.2049244494938e-173
DBF4,1.946983765,7.1042066209433e-173
HSD17B13,-5.901464937,1.31779735005759e-172
BUB1B,3.674324718,1.53318588447049e-172
PCNA,1.90904027,4.14929045937648e-172
ZNF695,4.584250996,1.4249783007089e-171
TK1,3.676782499,5.24288612547255e-171
PBK,4.147093941,5.42822005847035e-171
PIF1,3.721150957,6.30597096284993e-171
SHCBP1,3.3759383,6.78705874714895e-171
NEIL3,4.187587323,1.05536362332912e-170
CIP2A,2.66268951,1.5089099403041e-170
FAM72B,3.54253331,5.07594606982991e-170
LINC00511,4.73659982,1.56613311425905e-169
RRM2,4.1834629,1.23972300943953e-168
ARHGEF39,2.545767412,3.57467348527681e-168
DONSON,2.190255479,6.92028680132756e-168
LMNB1,3.122782222,8.62095705785108e-168
PCLAF,3.76711656,1.28700750690509e-167
POC1A,2.456734796,2.77296231802508e-167
CTPS1,2.35323466,1.13939212554794e-166
FAM72A,3.67775939,3.4092425031334e-165
ORC1,3.45286126,6.43474891646562e-165
CDC25C,3.920540468,9.93061952317251e-165
CAVIN2,-4.714672803,1.13674760253441e-164
BIRC5,4.588931263,1.61351064799958e-164
POLQ,3.322040262,3.84180286554282e-164
PDE2A,-3.710516552,2.4194294844219e-163
DTL,3.458707813,4.30094258045844e-163
BLM,2.837801715,6.96333733418245e-163
SLC7A5,3.986103629,1.43678357932527e-161
GPRIN1,3.54808215,3.59673180807744e-161
HMMR,3.643620502,2.4648831197861e-160
CENPN,2.265253708,2.66578168355188e-160
E2F8,4.104182056,1.38137592110153e-159
DDX39A,2.148076348,1.42906488518793e-159
RAD54B,2.536939415,3.4492854690377e-159
KNL1,3.390841883,4.6528567090639e-159
CENPW,3.18977323,1.20308765515058e-158
CCDC167,2.388218632,3.10179790821885e-158
ZWINT,3.043709396,5.1992725109522e-158
ABCA9,-4.469943256,1.41037474426529e-157
H2AZ1,2.05653476,3.55546701736098e-157
CD300LG,-6.06391692,2.81535604867664e-156
TNXB,-4.876565183,5.19991579026376e-156
VEGFD,-5.111788223,1.74037416081966e-155
CNIH2,4.363368371,6.01387890291784e-155
ACACB,-4.529417124,4.19958506814911e-154
TEDC2,3.31067851,5.62511414299115e-154
GPAM,-4.792761572,9.55304389492962e-154
PAQR4,2.666419629,1.59910462990589e-153
AC012073.1,2.648229789,4.34807155494053e-153
DIAPH3,3.122986148,6.24698230665689e-153
CDC6,3.205710712,9.45969810981312e-153
CIT,2.6060673,1.12740324278634e-152
MCM4,2.682578762,1.83554576211212e-152
FANCA,3.039387278,1.18954945875664e-151
CA9,6.532211084,1.27754989504082e-151
ESPL1,3.349615288,1.72781257619779e-151
HMGA1,2.698030786,4.19175297960163e-151
HASPIN,3.027199318,7.62267445782201e-151
PSRC1,2.846001699,1.33090113456187e-150
JPT1,2.912934519,4.37385578358806e-150
MKI67,4.046040969,1.71097061638517e-149
NOVA1,-4.174649473,2.53485118100178e-148
RFC4,2.163596004,1.53560424231823e-147
MYOC,-8.681015381,3.51025493251325e-147
ULBP1,4.60511425,1.80454145553014e-146
GPR19,3.448973256,5.41247451001638e-146
PLK4,2.417368718,6.96660909618549e-146
E2F2,3.527461197,7.95906608045461e-146
TUBA1C,2.019030961,8.8672793370015e-146
ABCA10,-4.039313299,1.15552010444919e-145
LRP8,2.708939055,1.07668920015044e-144
AC092718.4,2.61725527,1.11711579386815e-144
DCAF13,1.758064524,1.8368750917958e-144
EME1,2.764942987,3.03779745945136e-144
UHRF1,3.972056521,2.41339653808169e-143
FANCI,2.406755625,2.70255608666494e-143
DSCC1,2.441469782,2.90287392122212e-143
RMI2,3.168909201,3.11189061678753e-143
TONSL,2.709569294,3.40465415391208e-143
AP001528.2,-4.556209057,5.66870629031535e-143
KCNIP2,-5.471842377,1.99173868801535e-142
H2AX,2.64088504,2.0787158474254e-142
ARHGAP20,-3.594816992,3.37917590778452e-142
GLYAT,-7.016307498,1.52870330000335e-141
OIP5,2.888207946,1.97096923717387e-141
CENPU,2.826763837,7.7045409878972e-141
BTNL9,-4.69743023,1.47075014617062e-140
TPM3,1.4810688,1.69123872017661e-140
TRIM59,2.548856997,2.70171250307039e-140
ZBTB4,-1.401137688,3.95589650870545e-140
SLC16A12,-4.365328178,4.16180827998315e-140
ILF2,1.718419385,6.76546277052606e-140
ABCA8,-4.938913173,7.19959820869876e-140
ACVR1C,-5.614397685,9.06145576961169e-140
CDC7,2.784857298,1.27117522223185e-139
LINC02884,-4.701191583,4.13298592891866e-139
EZH1,-1.724072714,1.24909022045506e-138
KLB,-5.155115767,5.05885071124225e-138
SH2D2A,2.746678096,9.28808989698047e-137
CCT3,1.639256499,5.16279895303405e-136
CENPM,3.45499546,5.87830113610066e-136
CDT1,3.556535404,6.22439526993293e-136
SLC52A2,2.42330301,6.62252761960985e-136
PRIM2,1.587962588,4.5928210117123e-135
TOP2A,3.935277808,7.40874488500456e-135
DSN1,1.448779779,8.94531225476762e-135
SUV39H2,1.88204293,1.47989567374002e-134
PAMR1,-3.882652599,4.11683956450893e-133
LRRTM2,-3.332345517,4.66224451209161e-133
FHL1,-5.326591056,1.96859518700681e-132
AUXG01000058.1,-5.068169631,3.57410755625463e-132
ADAMTS9-AS2,-3.745352107,4.85730090790635e-132
SLC35A2,1.511453881,1.74933317781576e-131
PFKFB1,-4.913588239,3.16057850356216e-131
AOC3,-4.529207437,4.61166867458895e-131
GGH,2.55362159,1.26169426077664e-130
XRCC2,2.730838506,1.29704102060183e-130
CD36,-5.081562706,4.09208098222052e-130
PARPBP,2.143026164,4.1137029454611e-130
RCC2,1.613538184,2.27417031089517e-129
CXCL10,5.142104708,8.55908292134955e-129
ATP1A2,-6.571724399,1.38243817295558e-128
RCOR2,3.82958901,9.73364521118891e-128
GINS4,2.949324295,9.95829437538283e-128
ECT2,2.361128289,1.20349602424416e-127
TNS1,-3.456921139,1.83485668416613e-127
ANGPT4,-4.309221518,4.13095525555328e-127
SGO2,2.082755454,9.11565317856203e-127
LEP,-7.41473796,4.01965360577749e-126
LINC01537,-4.299209831,4.23548724410392e-126
MTHFD2,2.042330404,2.12878771657783e-125
ITIH5,-4.297901021,6.64243780885011e-125
FAXDC2,-2.817535583,1.99790619705026e-124
RFC2,1.65127928,2.1541650363891e-124
PDGFD,-2.726341984,9.88178642037481e-124
LEPR,-3.354414963,4.40344347155598e-123
LMNB2,2.243672051,5.13472644109939e-123
PRCC,1.32823018,8.72568046240469e-123
PPP1R14B,2.43665073,2.15927305077595e-122
DNAJB11,1.429062118,3.76964745181144e-122
HSPB7,-5.7530756,9.3104197293942e-122
TFR2,3.788498119,1.41751854683856e-121
CDCA4,1.991609193,1.94696349479666e-121
ALG3,1.747042029,2.93566536485919e-121
SVEP1,-4.029293797,1.05457132383959e-120
GJB2,4.659450185,2.05662968768258e-120
MRGBP,1.541075936,2.57836268074772e-120
KL,-3.169766018,3.49545045324519e-120
LAGE3,2.236417181,7.3042253055385e-120
MIS18A,1.64565793,9.82524722349474e-120
RANBP1,1.646559304,1.03422507399945e-119
TUBB,1.560984167,1.10230253156296e-119
LINC01614,5.07716365,1.28469585568452e-119
BAK1,1.679232274,1.37342653972978e-119
ATAD2,2.544741664,1.53497621043792e-119
BYSL,1.668242906,2.20027904310372e-119
NFE2L3,2.6045216,2.33311181462381e-119
INHBA,3.109535739,2.50383256081131e-119
CLEC3B,-4.456400878,3.41715092376045e-119
TBC1D31,1.713552238,4.93529622205849e-119
E2F3,2.032911165,5.04215882041266e-119
DDIAS,2.428238778,5.9470607951364e-119
RDH5,-4.617273757,8.87130161503784e-119
CCDC150,2.328300934,2.44051478230931e-118
CDCA7,3.088396343,4.72133075715231e-118
ASPA,-4.223188327,2.04436158140731e-117
E2F7,3.835241149,2.54962570015894e-117
CLEC5A,3.690084511,3.88971219929218e-117
RBMS3,-2.622419817,5.80934309567393e-117
CXCL11,4.673320644,1.15126422606166e-116
TMPO-AS1,2.340988417,1.49687302406677e-116
AC091057.1,2.532043214,3.09260420283141e-116
RHBDF2,1.785103086,9.05208867860531e-116
XPO5,1.571656793,1.86465103811916e-115
KCTD5,1.383833104,2.05767708157096e-115
CA4,-6.240882376,2.07503971406631e-115
MFAP2,3.056497454,3.06614103432306e-115
SLC2A4,-4.903542902,3.41674051907974e-115
CHAF1B,2.215019246,4.65847112131167e-115
MCM6,1.775136016,5.84035099931658e-115
NUP62,1.175835843,8.63190160163806e-115
CCNF,2.11497487,1.17573025856471e-114
RPL39L,2.212288149,1.44119630437014e-114
TIMELESS,1.720634024,2.76978837828636e-114
CAPN11,-3.046812226,3.03899270292122e-114
ABRACL,2.413552342,4.14212595067199e-114
MCM3,1.583427508,4.28773638222689e-114
ALYREF,2.054795358,8.21114338717538e-114
ABLIM3,-3.404836654,8.45290102342556e-114
HSD17B6,2.882533952,1.14625587732575e-113
NPR1,-3.710706731,1.23221044964011e-113
ESCO2,3.141106807,3.32238165444788e-113
SNRPD1,1.468345821,3.51148542478021e-113
APOB,-6.017406475,3.98679392831796e-113
SNRPA1,1.643650614,4.35777802899215e-113
SCNM1,1.599931305,4.79809972302352e-113
AGTR1,-4.140852728,7.34794601387414e-113
TCF19,2.072453219,8.8124472018295e-113
GSTM5,-4.788514125,1.89772416686268e-112
ANKRD29,-3.089952932,2.65521903876486e-112
NCAPG2,1.877371051,2.78754344790762e-112
JAM2,-2.50033082,2.91120684816827e-112
PARP1,1.449344302,3.94446927121848e-112
ART3,6.135507555,4.70859238840863e-112
SCN4B,-3.211525762,2.59570602453857e-111
KLHDC1,-2.123062389,2.69507906729094e-111
GPD1,-6.043322292,3.94526074430834e-111
HAUS8,1.532428895,4.05627827336953e-111
DNA2,2.39312267,4.61939378297139e-111
VPS72,1.536219026,5.23895632808342e-111
B4GALT3,1.576107631,5.47702160038402e-111
LIPE,-5.186509388,6.74891249051048e-111
LYVE1,-4.610800602,1.14300420399284e-110
LRRN4CL,-4.059235548,1.27059893475048e-110
CALCOCO1,-1.542357555,1.34229215917564e-110
OXTR,-4.900325796,1.38093052838167e-110
GARS1,1.48669286,4.08471672975047e-110
C1orf112,1.904361248,5.03508836385963e-110
C21orf58,2.131925452,5.07249244155308e-110
IL4I1,3.71409564,5.36513658057681e-110
ELAVL1,0.991163385,5.96368277051311e-110
SF3B4,1.357738198,7.26383566782408e-110
CALR,1.626288555,1.20250219146334e-109
FOXCUT,4.485629843,1.50791928480041e-109
ACSM5,-4.5516727,2.24829328324115e-109
POP1,1.964724903,2.898947877414e-109
CHRDL1,-4.43972195,3.07451958620415e-109
STARD9,-2.238091313,3.96329875716323e-109
UBAP2L,1.10863188,4.27029700272456e-109
POLR1G,1.782857739,5.13267421156343e-109
LVRN,-5.29884386,1.13337200039853e-108
RNFT2,2.783359581,1.24905296911448e-108
CRY2,-1.828680965,1.41514066265277e-108
LINC02185,-3.043909017,1.4672104930086e-108
AHNAK,-2.431071693,1.69798739015371e-108
INCENP,1.722234755,5.6393637965828e-108
CABLES2,1.814268973,9.9240711800058e-108
PDK4,-4.343629483,1.01012960093637e-107
DNMT3B,2.421397901,1.30036245514081e-107
YARS1,1.306877967,2.52280037392249e-107
TIMP4,-5.590999177,2.70765964718714e-107
RTKN2,2.758314317,6.33206882744036e-107
LDB2,-2.488772054,8.18610438961577e-107
NUP93,1.267848789,1.48763438937498e-106
BOP1,2.460705883,1.58494833755642e-106
CDKN2A,4.267941008,5.52557833653755e-106
TBC1D7,1.69540025,6.28815268640793e-106
PLPP4,4.602339076,7.5343733958935e-106
INTS7,1.466270569,8.36794409979404e-106
KIF22,1.546004549,1.14954408034784e-105
OTX1,4.196058806,1.23181525203815e-105
TDO2,4.84645678,1.31729416058455e-105
ECM2,-3.436129742,2.01381400929858e-105
MRPL13,1.459804054,2.87707409601924e-105
AP001528.1,-3.956274378,2.9619959700042e-105
ISG20L2,1.268880135,3.23139061156808e-105
HPRT1,1.666749742,3.52877196772644e-105
PPP1R12B,-2.253915361,3.94663219185708e-105
FAM111B,3.508986996,4.48216363532801e-105
BRIP1,2.634834384,5.08604893426365e-105
SRPK1,1.780851854,5.83424784821461e-105
SNRPC,1.360000575,6.67465970648109e-105
KIF1A,6.254701224,6.82876248896607e-105
CKS1B,1.811088559,7.03219693582523e-105
SGCG,-5.452100127,1.01330641707382e-104
CHEK2,1.687752963,1.52270160471538e-104
PLIN1,-6.230930261,1.81666429813732e-104
CIDEC,-6.190725523,1.95174109883777e-104
TRHDE-AS1,-6.29875236,2.55394505856225e-104
POLE2,1.983180948,3.03800245782877e-104
SEMA3G,-3.520160122,3.7210013097161e-104
FLAD1,1.777064754,3.82845869210156e-104
CEP68,-1.348698411,4.12332639655757e-104
ZWILCH,1.614922283,4.81384209081584e-104
HSPA14,1.671732544,5.38109767519758e-104
PDSS1,1.824490426,9.59240739841908e-104
AQP7,-5.825435798,1.02243990233512e-103
BCL2L12,1.939386206,1.03940044854753e-103
GAL,4.382805394,1.10284566025057e-103
LHFPL6,-2.377117272,2.0303337874098e-103
ABCA6,-3.264404507,3.87790274964239e-103
FOXP3,2.798110346,4.42013951184336e-103
CKAP2,1.972032451,5.03511004678993e-103
SORBS1,-3.743064862,7.01403516304725e-103
HSPB6,-4.892745112,9.18428706109827e-103
GPSM2,2.249051125,9.53491802994537e-103
RABIF,1.340383973,1.13573998414036e-102
SCN2B,-4.354246449,1.14608735563431e-102
GHR,-4.042556948,1.71092188585105e-102
FAM13A,-2.170325238,2.4798627407423e-102
GAS2L3,2.2240735,2.94950827878145e-102
GPR146,-2.814649117,3.07576925625902e-102
LINC02487,5.54560958,3.94765764470685e-102
RUSC1,1.52577775,4.50305240503259e-102
SLC19A3,-5.04675212,4.69561573308385e-102
F11R,1.440388745,5.49255798509246e-102
PDIA4,1.679009853,6.52585116160844e-102
KREMEN2,4.227246053,9.63244549787401e-102
FBXL6,2.127493878,9.65224343108243e-102
KNSTRN,1.886352289,2.40355756989075e-101
RCC1,1.867655034,2.40355756989075e-101
FGF10,-4.079425652,3.50594310084433e-101
GATAD2A,1.081797032,3.50594310084433e-101
ARF1,1.297266302,4.69788684227364e-101
DIXDC1,-1.993360409,5.88905038327821e-101
GNG12-AS1,-2.347272921,1.01845264630763e-100
LSM4,1.810853072,1.10182862136978e-100
TYMS,2.711888991,1.17746465594876e-100
EN1,4.421177226,1.47209013007798e-100
SPDL1,1.497191011,2.43340251614838e-100
SYNPO2,-3.182528802,3.40747324424695e-100
AC022784.1,4.490178377,3.87435322018975e-100
SCARA5,-4.862796544,4.71375259323938e-100
SMC4,2.162573522,6.39619578117996e-100
MCM7,1.667723617,6.40692930679685e-100
SLIT3,-3.124536479,6.69977804669678e-100
DKC1,1.479104011,6.78371323000943e-100
A2ML1,4.72481716,7.05621621765457e-100
FANCB,2.008681399,8.46636791144333e-100
RAPGEF3,-2.626915181,1.19252700057113e-99
CRHBP,-4.361070526,1.23130235357599e-99
MTHFD1L,2.01955887,1.3253409913157e-99
CD34,-2.42211043,1.71037367406616e-99
LINC01956,5.086941424,1.71097357033996e-99
PPP1R14BP3,2.450198566,1.98710185376569e-99
BAIAP2L1,1.669210834,2.01387715489567e-99
FZD4,-3.25022271,2.06556746212077e-99
ANP32E,2.103654393,3.06462665462928e-99
KLHL33,-3.230968708,3.54315157074502e-99
STIP1,1.328417433,4.95565948121688e-99
TOMM40,1.935573316,5.82395732624255e-99
MMP13,6.487363284,7.20270812977179e-99
GABBR2,5.304783016,7.21947359638239e-99
BMP8A,2.551811557,8.21304291262511e-99
PTBP1,0.896507475,1.05692711841487e-98
CPED1,-3.575596014,1.48970520676885e-98
RIPK2,1.776506303,1.49775370971563e-98
NCAPD2,1.855426438,1.79663605820846e-98
CCNE2,2.832313894,1.84185982483874e-98
WDHD1,1.825636526,2.52193108337287e-98
AC090004.2,-3.737503494,2.58584183367719e-98
ALDH1A2,-3.263996845,4.72808727946814e-98
CPA1,-4.789394561,5.0228831019358e-98
CDC25B,2.177072465,5.35970223209199e-98
ACTL6A,1.483549941,7.6239474098809e-98
CRYBG2,3.667725096,8.21755154749482e-98
ZNF367,2.189772295,8.22949638472361e-98
AC104211.1,-4.24174781,9.32663975473211e-98
AC018521.6,-1.687478326,1.18036275195221e-97
ATOH8,-3.594721006,1.25070015944053e-97
AVPR2,-3.507327844,1.46469647531976e-97
NKAPL,-2.883579727,1.65425539228476e-97
POLR2H,1.399104804,2.54781523435478e-97
FBXO43,2.925414938,3.17254949097287e-97
CEMIP,3.452355656,3.48628739645924e-97
UBQLN4,1.419070252,3.69801047139881e-97
MEX3A,3.402761523,3.69801047139881e-97
EBF1,-3.327372216,3.86120261364196e-97
HNRNPA1P21,3.418850983,4.00647936084401e-97
HAPLN1,5.953726029,5.53831677878725e-97
HGH1,1.808536387,5.6389871262226e-97
MAP1LC3C,-3.811060651,7.64774952459188e-97
TMEM132C,-5.677530775,9.52056717748775e-97
SH3D19,-2.389080812,1.29008696233867e-96
SMC1B,3.659475637,1.84968081611723e-96
TNS2,-2.349402062,2.0733237391269e-96
CCDC178,-3.571548551,2.24157621048939e-96
SNRPG,1.59365174,3.08031255884754e-96
PLIN4,-5.805192665,3.23065987997323e-96
MAGI2-AS3,-2.50249056,4.75332870878657e-96
FAM13C,-2.475570236,6.19026917124089e-96
CHST6,3.749030366,9.33480208430717e-96
DDX11-AS1,2.4188363,1.31449273174474e-95
TXNIP,-2.384590752,1.48177932757725e-95
LMOD1,-3.084053802,1.85599573545091e-95
PLAUR,2.474146149,2.32207074022878e-95
HPDL,3.645618241,2.63999328585528e-95
GALNT15,-3.789730478,1.10191366779663e-94
CDK2AP1,1.720067388,1.22674575540943e-94
AC005225.4,-3.054096627,1.29833049035866e-94
PTGER3,-3.614667087,1.3965043354833e-94
LDLRAD2,-3.081453707,1.53069843438596e-94
TCEAL7,-2.68379949,1.5350671592219e-94
TNFRSF9,3.531115321,1.6808129931048e-94
MOGS,1.252029195,1.6964674490025e-94
NMU,5.053591532,1.69732060006856e-94
PSMB4,1.549714707,2.09828799522876e-94
REEP4,1.819316404,2.49745511537125e-94
MCM5,1.581374381,3.05176311998701e-94
AL024507.2,1.976364503,7.66716405866464e-94
ALDH1L1,-4.707351586,9.43486943916941e-94
FOXK2,1.314548181,1.04007907908082e-93
AP000251.1,3.628020431,1.30443340435491e-93
ANGPTL1,-3.77380041,1.47448453690217e-93
C1QTNF9,-3.860267099,1.84104570826399e-93
TRAIP,1.735039592,2.30407848549582e-93
SPINDOC,1.663137833,2.31539363444627e-93
PPM1G,1.302782734,2.44350487966652e-93
KLF4,-3.015823145,2.76118248294921e-93
DST,-2.479769929,2.88119034652621e-93
MRPL14,1.786173678,2.99874680674976e-93
AL133215.2,2.460229302,3.68400414082449e-93
STAB2,-3.496459824,4.53198644041674e-93
SHMT2,1.535072021,5.60922219679268e-93
POLH-AS1,2.203779167,5.73881155836274e-93
AL133482.1,-3.073291437,6.83511120027956e-93
RUNX1T1,-2.488636694,6.84901909991294e-93
HENMT1,1.669325991,7.4501479474096e-93
HMGB2,1.734446896,7.78418108433771e-93
CBX3,1.24458604,1.11458629197401e-92
UBE2Q1,1.041456181,1.27869619292209e-92
CYP2A6,-4.624587616,1.30598701845151e-92
RRP36,1.17088063,1.48732399389613e-92
CCDC158,-2.819599857,2.20874471057238e-92
SAP30,1.739125282,3.50415220696011e-92
SALL4,3.21671274,4.88952785938891e-92
CBX7,-1.969336691,5.17564399910331e-92
SQLE,2.630363818,5.59233430597228e-92
TSHZ2,-2.659591736,6.91067592930097e-92
HBB,-5.361284402,9.34582874756486e-92
AC112777.1,3.751456771,9.68575612368904e-92
TOR3A,1.326737226,1.37550515799317e-91
MSLN,6.534365576,1.99213764303981e-91
LRRC2,-2.894417839,2.4839143848757e-91
SLC50A1,1.772023983,3.03902666471285e-91
CDC123,1.434234419,3.86659143169552e-91
PGAM5,1.430400253,4.38982905366072e-91
MTERF3,1.437709216,4.85563284172719e-91
LIN9,1.709838767,5.01054517321749e-91
RELT,2.091680503,5.49416462317909e-91
CENPK,2.166157902,6.80320878457769e-91
GBP5,3.906704037,7.39725138320829e-91
FAM136A,1.400144094,8.93472355877003e-91
PYGM,-3.473268268,1.20754788999679e-90
LSR,2.376158364,1.23349750115104e-90
CAV1,-3.250729277,1.24131789103143e-90
ACAN,5.197537573,1.24238051787123e-90
CCDC170,-2.934501952,2.12911183804659e-90
TTC28,-1.917346398,2.32589425603457e-90
BEND3,1.801022793,2.37232742364111e-90
STX6,1.190295198,2.67032498420649e-90
ETV7,2.860982964,2.68367894858184e-90
GINS2,2.383448662,3.06765993211485e-90
MME,-3.293507768,3.91939814906582e-90
LRRC59,1.326605619,4.15717269985956e-90
ADAMTS5,-2.658225324,4.24873722071488e-90
TNMD,-4.992541388,4.29871069354601e-90
COL22A1,4.703625794,4.33063914368058e-90
HES6,3.107437833,4.77886958129354e-90
HEPACAM,-5.54448614,5.41159709398195e-90
APH1A,1.165912226,5.85450247352218e-90
PPARG,-3.572841035,6.1222019465237e-90
KCNG1,4.414410056,6.13739472788451e-90
GEN1,1.621180366,6.8210648150094e-90
DIPK2B,-2.297508741,6.93968875841691e-90
TCF3,1.461594934,1.20242234967287e-89
SAMD1,1.540012362,1.27684534599028e-89
MRPL47,1.532283869,1.93153689056169e-89
AKAP12,-3.303562741,1.94470811589298e-89
CERT1,-1.567260244,3.00803862242373e-89
CXCL12,-2.347925459,6.35526831712175e-89
FANCD2,1.880742206,9.59890150780945e-89
AC002451.1,-2.84680577,1.29307417862153e-88
PFDN2,2.092665078,1.6315383238071e-88
CHAF1A,1.653258354,2.11470690986306e-88
CACYBP,1.417282566,2.3699144945427e-88
MCM2,2.477735349,2.43405899852583e-88
SLC25A19,1.61647662,3.03067705154909e-88
HNRNPAB,1.3946963,3.05144632971745e-88
PCAT6,2.578262321,3.77700655439045e-88
GYG2,-3.991582886,4.60207238823665e-88
CNOT9,1.077372756,5.18870798879529e-88
PEAR1,-2.447492466,5.95504119804276e-88
B3GNT4,2.775937565,8.10034474843173e-88
PYGO2,1.02195896,9.12999104418727e-88
MYOM1,-3.3948647,9.72435279739353e-88
GPIHBP1,-4.109361059,1.12898540569193e-87
CCN4,3.068068072,1.17578802247249e-87
SOX11,4.510945774,1.2126259845746e-87
ARRB1,-1.66307117,1.25825718878341e-87
ABCB5,-4.487184668,1.41848418615099e-87
COA6,1.695739875,1.50694102255971e-87
SNRPB,1.653521748,1.71207029100729e-87
FAM172A,-1.191645706,1.864524020087e-87
LAMA2,-2.893865959,1.87131645118644e-87
SCAMP3,1.167304168,1.96234706572382e-87
HELLS,2.262288087,2.04447040874193e-87
MMRN1,-4.306303997,2.13879838106363e-87
ALDH18A1,1.239478785,2.42936085192095e-87
PRDX4,1.585719497,2.58091129660379e-87
SMS,1.474569664,2.89085975280344e-87
NME1,2.125263408,3.08981270027458e-87
TIMM17A,1.303836212,3.3901033252872e-87
CYBRD1,-2.50184867,3.54391595793281e-87
APOBEC3B,3.985698407,3.67273365990879e-87
TTYH3,2.08370246,6.19057153119892e-87
